 # time              Etot              Ltot
   0.23200000E+002  -0.14109673E+007   0.29827679E+009
   0.23300000E+002  -0.14109373E+007   0.29827679E+009
   0.23400000E+002  -0.14109140E+007   0.29827678E+009
   0.23500000E+002  -0.14108976E+007   0.29827678E+009
   0.23600000E+002  -0.14108883E+007   0.29827678E+009
   0.23700000E+002  -0.14108863E+007   0.29827678E+009
   0.23800000E+002  -0.14108919E+007   0.29827677E+009
   0.23900000E+002  -0.14109054E+007   0.29827677E+009
   0.24000000E+002  -0.14109271E+007   0.29827677E+009
   0.24100000E+002  -0.14109573E+007   0.29827677E+009
   0.24200000E+002  -0.14109963E+007   0.29827677E+009
   0.24300000E+002  -0.14110445E+007   0.29827676E+009
   0.24400000E+002  -0.14111024E+007   0.29827676E+009
   0.24500000E+002  -0.14111703E+007   0.29827676E+009
   0.24600000E+002  -0.14112487E+007   0.29827676E+009
   0.24700000E+002  -0.14113383E+007   0.29827676E+009
   0.24800000E+002  -0.14114395E+007   0.29827675E+009
   0.24900000E+002  -0.14115529E+007   0.29827675E+009
   0.25000000E+002  -0.14116793E+007   0.29827675E+009
   0.25100000E+002  -0.14118195E+007   0.29827675E+009
   0.25200000E+002  -0.14119741E+007   0.29827674E+009
   0.25300000E+002  -0.14121442E+007   0.29827674E+009
   0.25400000E+002  -0.14123307E+007   0.29827674E+009
   0.25500000E+002  -0.14125348E+007   0.29827674E+009
   0.25600000E+002  -0.14127577E+007   0.29827674E+009
   0.25700000E+002  -0.14130008E+007   0.29827673E+009
   0.25800000E+002  -0.14132657E+007   0.29827673E+009
   0.25900000E+002  -0.14135540E+007   0.29827673E+009
   0.26000000E+002  -0.14138677E+007   0.29827673E+009
   0.26100000E+002  -0.14142090E+007   0.29827672E+009
   0.26200000E+002  -0.14145805E+007   0.29827672E+009
   0.26300000E+002  -0.14149850E+007   0.29827672E+009
   0.26400000E+002  -0.14154258E+007   0.29827672E+009
   0.26500000E+002  -0.14159065E+007   0.29827672E+009
   0.26600000E+002  -0.14164317E+007   0.29827671E+009
   0.26700000E+002  -0.14170062E+007   0.29827671E+009
   0.26800000E+002  -0.14176361E+007   0.29827671E+009
   0.26900000E+002  -0.14183282E+007   0.29827671E+009
   0.27000000E+002  -0.14190908E+007   0.29827671E+009
   0.27100000E+002  -0.14199338E+007   0.29827670E+009
   0.27200000E+002  -0.14208690E+007   0.29827670E+009
